42,9,10,55,16,17,56,19,8,9,10,11,16,57,18,19
8,9,58,11,16,17,18,19,59,9,10,11,16,17,18,19
8,9,10,60,16,17,18,19,8,9,10,11,60,17,59,19
8,58,10,11,56,17,18,58,8,57,10,11,16,64,18,19
8,9,10,55,16,17,56,19,8,9,10,11,16,57,18,19
8,9,58,11,16,17,18,19,59,9,10,11,16,17,18,19
8,9,10,60,16,17,18,19,8,9,10,11,60,17,59,19
8,58,10,11,56,17,18,58,8,57,10,11,16,64,18,19
8,9,10,55,16,17,56,19,8,9,10,11,16,57,18,19
8,9,58,11,16,17,18,19,59,9,10,11,16,17,18,19
8,9,10,60,16,17,18,19,8,9,10,11,60,17,59,19
8,58,10,11,56,17,18,58,8,57,10,11,16,64,18,19
8,9,10,55,16,17,56,19,8,9,10,11,16,57,18,19
8,9,58,11,16,17,18,19,59,9,10,11,16,17,18,19
8,9,10,60,16,17,18,19,8,9,10,11,60,17,59,19
8,58,10,11,56,17,18,58,8,57,10,11,16,64,18,19
